"name","id","urlname","country_acronym","state","city","members","lat","lon","timezone"
"R-Ladies Ljubljana","36618082","rladies-ljubljana","si","","Ljubljana",53,46.06,14.51,"Europe/Belgrade"
"R-Ladies Louisville","36506652","rladies-louisville-ky","us","KY","Louisville",11,38.25,-85.78,"America/New_York"
"R-Ladies San Cristóbal de las Casas","36506636","rladies-sancristobal","mx","","San Cristóbal de las Casas",8,16.75,-92.63,"America/Mexico_City"
"R-Ladies Fort Pierce","36506535","rladies-fort-pierce","us","FL","Fort Pierce",5,27.42,-80.45,"America/New_York"
"R-Ladies Wellington","36506465","rladies-wellington","nz","","Wellington",13,-41.28,174.78,"Pacific/Auckland"
"R-Ladies Halifax","36506375","rladies-halifax","ca","NS","Halifax",20,44.64,-63.57,"America/Halifax"
"R-Ladies Cairo","36506244","rladies-cairo","eg","","Cairo",7,30.06,31.25,"Africa/Cairo"
"R-Ladies Accra","36506211","rladies-accra","gh","","Accra",29,5.56,-0.2,"Africa/Accra"
"R-Ladies Stillwater","36506185","rladies-stillwater","us","OK","Stillwater",32,36.11,-97.08,"America/Chicago"
"R-Ladies Honolulu","36221103","rladies-honolulu","us","HI","Honolulu",32,21.33,-157.83,"Pacific/Honolulu"
"R-Ladies Rabat","36221061","rladies-rabat-ma","ma","","Rabat",180,34.02,-6.83,"Africa/Casablanca"
"R-Ladies Morelia","36155475","rladies-morelia","mx","","Morelia",105,19.72,-101.18,"America/Mexico_City"
"R-Ladies Ciudad Obregón","36155463","rladies-ciudad-obregon","mx","","Ciudad Obregón",3,27.49,-109.94,"America/Hermosillo"
"R-Ladies Rome","36128420","rladies-rome","it","RM","Roma",74,41.9,12.48,"Europe/Rome"
"R-Ladies Oxford MS","36128390","rladies-oxford-ms","us","MS","Oxford",4,34.35,-89.52,"America/Chicago"
"R-Ladies Gaborone","35897820","rladies-gaborone","bw","","Gaborone",561,-24.65,25.91,"Africa/Maputo"
"R-Ladies Cologne","35897809","rladies-cologne","de","","Cologne",207,50.94,6.96,"Europe/Berlin"
"R-Ladies West Lafayette","35897790","rladies-west-lafayette","us","IN","West Lafayette",10,40.5,-86.97,"America/New_York"
"R-Ladies Villahermosa","35897779","rladies-villahermosa","mx","","Villahermosa",130,17.98,-92.92,"America/Mexico_City"
"R-Ladies Bordeaux","35897766","rladies-bordeaux","fr","","Bordeaux",15,44.84,-0.58,"Europe/Paris"
"R-Ladies Urmia","35897727","rladies-urmia","ir","","Orumiyeh",307,37.53,45,"Asia/Tehran"
"R-Ladies Jeddah","35897702","RLadiesJeddah","sa","","Jeddah",240,21.5,39.17,"Asia/Riyadh"
"R-Ladies Santo Domingo","35897540","rladies-santo-domingo","do","","Santo Domingo",52,18.48,-69.91,"America/Santo_Domingo"
"R-Ladies Zürich","35897482","rladies-zurich","ch","","Zürich",186,47.38,8.54,"Europe/Zurich"
"R-Ladies Reading","35897302","rladies-reading","gb","03","Reading",30,51.44,-0.95,"Europe/London"
"R-Ladies Caracas","35447775","rladies-caracas","ve","","Caracas",16,10.54,-66.93,"America/Caracas"
"R-Ladies Milagro","35058835","rladies-milagro","ec","","Milagro",315,-2.18,-79.6,"America/Guayaquil"
